Month,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
0,1.2670042261,49.988884079,0.0531121908,44.92509779760535,45.568409099795254,46.554293019128345,48.18937381404629,49.988884079,51.77125748526315,53.36153474895388,54.3072119715771,54.91900445357619
0.5,0.5112376962,52.695975301,0.0486926838,47.97812372890865,48.558092059196404,49.45780382956358,50.97918889457705,52.695975301,54.44054313408525,56.034440994428294,56.99907737310453,57.62984322730638
1.5,-0.45224446,56.628428552,0.0441168302,52.19859469009966,52.72610658690331,53.55364656597923,54.9791044093995,56.628428552,58.3505940783497,59.96640329277086,60.96465379166332,61.62591487512623
2.5,-0.990594599,59.608953427,0.0417955825,55.263217798862705,55.7734505006415,56.57772144803173,57.97439881636581,59.608953427,61.337880932010044,62.98158100386182,64.00788548885413,64.69240909078133
3.5,-1.285837689,62.077000266,0.0404541256,57.73049293474062,58.23744339480444,59.038302266473316,60.43433438654572,62.077000266,63.8254260405793,65.49858004044806,66.54889030323893,67.25189596646588
4.5,-1.43031238,64.216864104,0.0396338789,59.82568616226726,60.336469051774216,61.14409605177072,62.55408849368982,64.216864104,65.99130662873849,67.69404786860157,68.76537757173193,69.48353965814037
5.5,-1.47657547,66.125314898,0.0391238128,61.66383708962646,62.18260806633846,63.00295962074301,64.43546338304816,66.125314898,67.9293475879754,69.6612233008438,70.75128298952338,71.48218224820714
6.5,-1.456837849,67.860179904,0.0388119944,63.31224238885401,63.84166130643861,64.6785365049069,66.13895735000983,67.860179904,69.69579470278775,71.45609163170143,72.56306797904263,73.30488349343784
7.5,-1.391898768,69.459084582,0.0386332091,64.81395419883471,65.35583848911635,66.21181225238276,67.70375000298608,69.459084582,71.32735362022345,73.11524682626705,74.23766745655288,74.98899281970643
8.5,-1.29571459,70.948039123,0.0385468328,66.19832569787057,66.75397984718664,67.63087748776489,69.1568171782938,70.948039123,72.84947000645754,74.66409756961727,75.80074408324381,76.56047112136
9.5,-1.177919048,72.345861109,0.0385262623,67.48634824098706,68.05674554779137,68.95590629376494,70.51760635729417,72.345861109,74.2806018978287,76.12110380016006,77.27095250264826,78.03819367012436
10.5,-1.045326049,73.666654103,0.038553387,68.69360304050298,69.27949219065712,70.20192460731484,71.80064815246487,73.666654103,75.63461845456887,77.50015825446417,78.66233936067218,79.43637498296687
11.5,-0.902800887,74.921297174,0.0386155012,69.83200143394095,70.4339743086492,71.3804554654194,73.01711845606359,74.921297174,76.92224327574078,78.81201696684751,79.98578218086622,80.76602066625145
12.5,-0.753908107,76.118375358,0.0387034611,70.91087823718277,71.52941204123319,72.50054958204953,74.17581483009914,76.118375358,78.15195848630215,80.06520155034178,81.24990315789351,82.03585473878108
13.5,-0.601263523,77.264799111,0.0388105571,71.9376972069369,72.57318380899203,73.56945921576242,75.28380189140294,77.264799111,79.33060669269965,81.26659566030521,82.46166864725446,83.25292427810774
14.5,-0.446805039,78.366223087,0.0389317838,72.91853024895529,73.57129631191194,74.59309471304485,76.34684777095148,78.366223087,80.46379892338649,82.42185153647542,83.62680002850986,84.42301569916101
15.5,-0.291974772,79.427340501,0.0390633563,73.85839060082736,74.52871189639967,75.57634333063135,77.3697300415551,79.427340501,81.55620169106426,83.53567592910336,84.75006240948989,85.55094704242529
16.5,-0.13784767,80.452094919,0.0392023816,74.76147075235326,75.4495825856131,76.52329753626326,78.35645533420036,80.452094919,82.61174386834621,84.61203637510475,85.83547301773949,86.64077902129553
17.5,0.014776155,81.443836034,0.0393466285,75.63131645364003,76.33742139581317,77.43742234846276,79.3104206167123,81.443836034,83.63376900118125,85.65431314600136,86.88645473058892,87.69597051504851
18.5,0.1653041691,82.405436434,0.0394943647,76.47095627901038,77.19523001883644,78.3216802341811,80.23453383323479,82.405436434,84.62514967900101,86.66541348903583,87.90595157461624,88.71949557757395
19.5,0.3133018086,83.339380627,0.0396442379,77.28300000897994,78.02559583973817,79.17862610071506,81.1313057809738,83.339380627,85.5883747924065,87.64785881487592,88.89651687378971,89.71393272571655
20.5,0.4584554707,84.247833944,0.0397951891,78.06971428782964,78.83076661130326,80.01048050836427,82.00292107012113,84.247833944,86.52561719981227,88.60385241536571,89.86038176166532,90.68153435727308
21.5,0.6005446308,85.132696575,0.0399463877,78.83308171721539,79.61270881606104,80.81918694147242,82.85129370593606,85.132696575,87.43878684755883,89.53533266083764,90.79950901212906,91.62428128925974
22.5,0.7394389526,85.995648803,0.0400971806,79.57484555802922,80.3731528544819,81.60645749528346,83.67811296054039,85.995648803,88.32957470719673,90.44401549244586,91.71563467589921,92.54392388588977
23.5,0.8750004465,86.838175097,0.0402470597,80.29655659134912,81.1136348241789,82.3738080633518,84.48487091397702,86.838175097,89.19947893906046,91.3314274071703,92.61030750047394,93.44202663332027
24.5,1.0072080698,87.661609339,0.0403956257,80.9995872983678,81.83551817574903,83.12258949448649,85.27290404353181,87.661609339,90.04984549311636,92.19893497120117,93.48490873360218,94.31998042249506
25.5,0.8372513507,88.452472817,0.0405775247,81.74463953308847,82.58135344381797,83.87244978008758,86.03702902072158,88.452472817,90.87870055723732,93.0714335250574,94.38774522480011,95.24419298993301
26.5,0.681492975,89.223264339,0.0407231216,82.47365273070014,83.31105282866484,84.60576246327356,86.78329345801583,89.223264339,91.68467602565714,93.9181746482636,95.26300075976926,96.13961610634952
27.5,0.5387796541,89.975492278,0.0408331942,83.18812205702696,84.02609005649909,85.32398911573479,87.51317400272427,89.975492278,92.46928892146316,94.74063663311355,96.11210119888335,97.00762789525717
28.5,0.4076971531,90.710408526,0.0409090589,83.88930684138421,84.7276916167264,86.02832995692444,88.22787586649696,90.710408526,93.23384749379954,95.54016226247235,96.93639476235641,97.84957200913313
29.5,0.2867624533,91.429077621,0.0409524329,84.57826388934267,85.41688027158656,86.71977994325312,88.92840117065415,91.429077621,93.97950842599391,96.31799564893205,97.73717289439466,98.66676679104773
30.5,0.1744894848,92.132423789,0.0409653301,85.25588691618213,86.09451744683165,87.3991747668398,89.61559786982572,92.132423789,94.70731653541579,97.07531110491341,98.51569104205063,99.46052026667704
31.5,0.0694445205,92.821271673,0.0409499758,85.92293959848467,86.7613389249827,88.06722988268606,90.29020176841622,92.821271673,95.41823884514176,97.81323660105552,99.27318377700549,100.23213911268546
32.5,-0.029720564,93.496379457,0.0409087367,86.5800851110585,87.41798587421515,88.72457345346352,90.95287107222292,93.496379457,96.11319216899733,98.53287254204307,100.01087654766904,100.9829351608369
33.5,-0.124251789,94.158465459,0.0408440616,87.22791274128976,88.06503203379997,89.3717742721354,91.60421467141437,94.158465459,96.79306504412006,99.23530653227454,100.72999471935574,101.71423013491311
34.5,-0.215288396,94.808229231,0.0407584307,87.86696171583914,88.70300744836479,90.00936536320444,92.24481514650212,94.808229231,97.45873490142458,99.92162482495482,101.43177049143671,102.4273591591809
35.5,-0.30385434,95.446369813,0.0406543122,88.49774096049686,89.3324183664647,90.63786404228334,92.87524861071734,95.446369813,98.11108261347032,100.59292122326605,102.11744721866171,103.12367158861994
