Height,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
77.0,-0.999294215,10.27440527,0.077115837,8.972918744,9.11781325,9.350303042,9.766407722,10.27440527,10.83812738,11.16689855,11.4011129,11.7668991,12.01728627
77.5,-0.979897716,10.38901871,0.076995353,9.073267731,9.219922075,9.455148545,9.875875665,10.38901871,10.95778248,11.289158,11.52507288,11.8932524,12.14509038
78.5,-0.943555181,10.61724901,0.076769511,9.27309208,9.423242003,9.663907823,10.09383533,10.61724901,11.19612673,11.53275921,11.77212488,12.14519668,12.40002986
79.5,-0.91080778,10.84432907,0.076564374,9.47192154,9.625531353,9.871587899,10.31065794,10.84432907,11.43339148,11.77536897,12.01827111,12.39640999,12.65438854
80.5,-0.882026316,11.07048885,0.076380766,9.669970612,9.827000834,10.07839639,10.52655452,11.07048885,11.66984493,12.01728516,12.26383357,12.6472562,12.90856157
81.5,-0.857561667,11.29597453,0.076219662,9.867465098,10.02787289,10.28455342,10.7417502,11.29597453,11.90577397,12.25882589,12.50915553,12.89812222,13.16296835
82.5,-0.837750377,11.52104655,0.07608215,10.06464125,10.22838074,10.49029047,10.95648264,11.52104655,12.14148209,12.50032738,12.75459958,13.14941636,13.41805131
83.5,-0.822919198,11.74597768,0.075969382,10.26174496,10.4287674,10.69584915,11.17100044,11.74597768,12.37728721,12.7421419,13.00054571,13.40156684,13.6742748
84.5,-0.813388595,11.97105103,0.075882537,10.45903091,10.62928475,10.90148006,11.38556161,11.97105103,12.61351947,12.98463561,13.24738933,13.6550202,13.93212398
85.5,-0.809475279,12.19655799,0.075822785,10.65676178,10.83019257,11.10744159,11.60043192,12.19655799,12.85051907,13.22818647,13.49553926,13.91023979,14.19210372
86.5,-0.811493792,12.4227963,0.075791244,10.85520745,11.03175764,11.31399881,11.81588337,12.4227963,13.08863398,13.47318203,13.74541572,14.1677042,14.45473759
87.5,-0.8197572,12.65006791,0.075788944,11.0546442,11.2342528,11.52142229,12.03219261,12.65006791,13.32821763,13.72001718,13.99744832,14.42790576,14.72056689
88.5,-0.834576932,12.87867701,0.07581679,11.25535391,11.43795604,11.729987,12.24963938,12.87867701,13.56962661,13.96909189,14.25207386,14.691349,14.99014975
89.5,-0.856261805,13.10892794,0.075875517,11.45762324,11.64314963,11.93997121,12.46850502,13.10892794,13.81321822,14.22080884,14.50973427,14.95854908,15.26406025
90.5,-0.885116299,13.34112314,0.075965652,11.66174286,11.85011921,12.15165548,12.68907093,13.34112314,14.05934806,14.47557099,14.77087425,15.23003025,15.54288768
91.5,-0.921432943,13.5755615,0.076087468,11.86800626,12.05915274,12.36532155,12.91161745,13.5755615,14.30836781,14.73377926,15.03593913,15.50632408,15.82723547
92.5,-0.965501267,13.81253552,0.076240931,12.07670968,12.27054003,12.58125142,13.13642188,13.81253552,14.56062192,14.99582939,15.30537214,15.78796821,16.11772149
93.5,-1.017588552,14.05233041,0.076425662,12.28815023,12.48457136,12.7997264,13.36375794,14.05233041,14.81644595,15.2621099,15.57961215,16.07550416,16.41497639
94.5,-1.077941994,14.29522185,0.07664088,12.50262539,12.70153676,13.02102616,13.59389429,14.29522185,15.07616355,15.53299897,15.85909086,16.36947582,16.71964365
95.5,-1.146773671,14.54147499,0.076885365,12.72043131,12.92172471,13.24542786,13.82709389,14.54147499,15.3400845,15.80886196,16.14423022,16.6704272,17.03237842
96.5,-1.224269596,14.79134177,0.07715739,12.94186266,13.14542179,13.47320539,14.06361249,14.79134177,15.60850108,16.09004772,16.435439,16.97890086,17.35384839
97.5,-1.310558831,15.04506152,0.077454707,13.16720979,13.37291056,13.70462839,14.30369892,15.04506152,15.88168735,16.37688676,16.73311035,17.29543503,17.6847315
98.5,-1.405713355,15.30285949,0.077774507,13.39675772,13.60446875,13.9399615,14.54759427,15.30285949,16.15989645,16.6696879,17.03761835,17.62056129,18.02571601
99.5,-1.509717075,15.56494815,0.078113436,13.6307828,13.84036679,14.17946326,14.79553258,15.56494815,16.4433606,16.96873685,17.34931547,17.95480122,18.3774979
100.5,-1.622491233,15.83152429,0.078467542,13.86955335,14.08086791,14.42338546,15.04773906,15.83152429,16.73228676,17.27429143,17.66852815,18.29866436,18.74078304
101.5,-1.743825743,16.10277448,0.078832409,14.11332298,14.3262235,14.6719715,15.30443284,16.10277448,17.02686105,17.58658316,17.99555569,18.65264302,19.11628039
102.5,-1.873365511,16.37887678,0.079203258,14.3623275,14.57667057,14.92545486,15.56582724,16.37887678,17.32724961,17.90581651,18.33066799,19.01720839,19.5046992
103.5,-2.010641647,16.65999867,0.079574978,14.61678517,14.83243136,15.18405792,15.83212792,16.65999867,17.63359604,18.23216547,18.67410169,19.39280771,19.90675015
104.5,-2.154957918,16.94630912,0.079942558,14.8768847,15.09370466,15.44798851,16.10353776,16.94630912,17.94603443,18.56578254,19.02606388,19.77985667,20.32312999
105.5,-2.305458316,17.23797444,0.08030117,15.14278742,15.36066627,15.71743814,16.38025293,17.23797444,18.26468632,18.90679586,19.38672911,20.1787374,20.75452347
106.5,-2.461019713,17.53517134,0.080646757,15.41461403,15.63345894,15.99257708,16.66246685,17.53517134,18.58967772,19.25532299,19.75624737,20.58979116,21.20158343
107.5,-2.62033059,17.83808212,0.080976208,15.69244676,15.91219242,16.27355169,16.95036489,17.83808212,18.92113785,19.61147125,20.13474455,21.01331726,21.66492986
108.5,-2.781787762,18.14690821,0.0812881,15.97631447,16.19693164,16.56047764,17.24412681,18.14690821,19.25922069,19.97535804,20.52233698,21.44956767,22.14512329
109.5,-2.943638944,18.46185811,0.081582687,16.26619982,16.48769998,16.85343765,17.54391749,18.46185811,19.60409781,20.34710882,20.91913269,21.89875002,22.64266738
110.5,-3.103888502,18.78315936,0.081862656,16.56202375,16.78446659,17.15247356,17.84988762,18.78315936,19.95598136,20.72688185,21.32525216,22.36102622,23.15797665
111.5,-3.260482798,19.11103983,0.082132791,16.86365693,17.08715301,17.4575854,18.16216193,19.11103983,20.31510927,21.11486155,21.74082861,22.83652027,23.69138309
112.5,-3.411305599,19.44572803,0.082400213,17.17091316,17.39562697,17.76872619,18.48083577,19.44572803,20.68175356,21.51127205,22.16602327,23.32532325,24.24311525
113.5,-3.554288672,19.78744004,0.082674023,17.48355487,17.70970539,18.08580073,18.80596716,19.78744004,21.05620975,21.91637379,22.60102871,23.82750255,24.81329664
114.5,-3.687600863,20.13635563,0.082964333,17.80130995,18.02916633,18.40866976,19.13756712,20.13635563,21.43876754,22.3304406,23.04605609,24.34311131,25.40196582
115.5,-3.809599339,20.49262111,0.083282267,18.12386353,18.35374284,18.73714656,19.47560008,20.49262111,21.8297156,22.75376667,23.50134403,24.87219375,26.00905839
116.5,-3.919005213,20.85632542,0.083638758,18.45087764,18.68313795,19.0710044,19.81997697,20.85632542,22.22930525,23.18663214,23.96713325,25.41479043,26.63443908
117.5,-4.014882272,21.2274989,0.084044246,18.78199002,19.01702441,19.40997727,20.17055644,21.2274989,22.63774393,23.62929478,24.44365939,25.97093854,27.27790257
118.5,-4.096683061,21.60610366,0.084508001,19.11682286,19.35505216,19.75376486,20.52714418,21.60610366,23.05517462,24.08196605,24.93113135,26.54066898,27.93919453
119.5,-4.164160421,21.9920407,0.085038256,19.45497491,19.69684281,20.1020308,20.88949663,21.9920407,23.48168087,24.54481209,25.42972912,27.12400191,28.61800412
120.5,-4.217425718,22.3851382,0.085641503,19.79603451,20.0420005,20.45440956,21.25732015,22.3851382,23.91726195,25.01792347,25.93957405,27.72093757,29.31399641
121.5,-4.256802224,22.78516628,0.086323118,20.13956381,20.3900999,20.81050076,21.63027567,22.78516628,24.36185175,25.50133046,26.46073804,28.33145034,30.02679082
